UnixTimestamp,Date(America/New_York),Time(America/New_York),ExternalTemp,SpConductivity_us,Pressure_abs,Turbidity,ODO,ODO_Sat,PH,PH_mV,Chlorophyll_ugL,Chlorophyll_RFU,BGA_PC_ugL,BGA_PC_RFU,BatteryVoltage,InternalHumidity,Latitude,LongitudeD=08/14/24,20:30:00,20.58797,44436.04,15.81594,NAN,9.090303,119.7475,8.238728,-72.0395,2.613046,0.6532615,NAN_1,NAN_2,13.30436,34,44.10991,-69.10593,Longitude(Inactive-1)
1720854900000,2024-13-07,03:15:00 11700000,15.97832,47055.78,15.83815,NAN,8.719036,106.393,8.238359,-70.8881,1.866482,0.4666205,NAN,NAN,13.25776,26,44.11001,,,,,,,,,,,,,,,,,,,-69.106
1720855800000,2024-13-07,03:30:00 12600000,15.98859,47062.37,15.83958,NAN,8.702945,106.2108,8.236972,-70.81075,1.664722,0.4161806,NAN,NAN,13.25583,26,44.11001,,,,,,,,,,,,,,,,,,,-69.106
1720856700000,2024-13-07,03:45:00 13500000,15.94016,47054.35,15.84087,NAN,8.686495,105.9099,8.234374,-70.65067,1.985104,0.4962761,NAN,NAN,13.25463,26,44.11001,,,,,,,,,,,,,,,,,,,-69.106
1720857600000,2024-13-07,04:00:00 14400000,15.97691,24789.21,15.83751,NAN,8.677232,105.8683,8.256028,-71.89904,1.702126,0.4255314,NAN,NAN,13.23508,26,44.11001,,,,,,,,,,,,,,,,,,,-69.106
1720858500000,2024-13-07,04:15:00 15300000,15.93229,47063.17,15.84124,NAN,8.640814,105.3412,8.230515,-70.42758,2.203264,0.5508161,NAN,NAN,13.2539,26,44.10996,,,,,,,,,,,,,,,,,,,-69.10588
1720859400000,2024-13-07,04:30:00 16200000,NAN,47063.17,15.84124,NAN,8.640814,105.3412,8.230515,-70.42758,2.203264,0.5508161,NAN,NAN,13.23266,26,44.10996,,,,,,,,,,,,,,,,,,,-69.10588
1720860300000,2024-13-07,04:45:00 17100000,15.87617,47060.62,15.84286,NAN,8.656598,105.4107,8.231735,-70.48384,2.408883,0.6022207,NAN,NAN,13.25245,26,44.10996,,,,,,,,,,,,,,,,,,,-69.10588
1720861200000,2024-13-07,05:00:00 18000000,15.88862,30205.12,12.6757,NAN,8.644624,105.3008,8.255256,-71.83283,2.632432,0.6581079,NAN,NAN,13.20853,26,44.10996,,,,,,,,,,,,,,,,,,,-69.10588
1720862100000,2024-13-07,05:15:00 18900000,15.95786,47060.67,15.84574,NAN,8.639865,105.3821,8.230364,-70.42507,2.423345,0.6058362,NAN,NAN,13.23411,26,44.10998,,,,,,,,,,,,,,,,,,,-69.10591
1720863000000,2024-13-07,05:30:00 19800000,15.98296,47051.49,15.84443,NAN,8.628173,105.2839,8.230783,-70.45562,2.358459,0.5896147,NAN,NAN,13.23363,26,44.10998,,,,,,,,,,,,,,,,,,,-69.10591
1720863900000,2024-13-07,05:45:00 20700000,15.96952,47062.82,15.84385,NAN,8.641365,105.4188,8.230753,-70.45027,1.7506,0.43765,NAN,NAN,13.2498,26,44.10998,,,,,,,,,,,,,,,,,,,-69.10591
1720864800000,2024-13-07,06:00:00 21600000,15.95594,30591.8,12.67411,NAN,8.593238,104.8073,8.247344,-71.39645,1.465713,0.3664282,NAN,NAN,13.25439,26,44.10998,,,,,,,,,,,,,,,,,,,-69.10591
1720865700000,2024-13-07,06:15:00 22500000,15.90485,47059.39,15.84604,NAN,8.600952,104.7981,8.224128,-70.05577,1.934297,0.4835742,NAN,NAN,13.28167,26,44.10991,,,,,,,,,,,,,,,,,,,-69.10593
1720866600000,2024-13-07,06:30:00 23400000,15.89497,47064.85,15.84466,NAN,8.588428,104.6203,8.222426,-69.95586,1.852255,0.4630637,NAN,NAN,13.28384,26,44.10991,,,,,,,,,,,,,,,,,,,-69.10593
1720867500000,2024-13-07,06:45:00 24300000,15.97844,47071.43,15.84525,NAN,8.53199,104.1132,8.216016,-69.60878,1.849105,0.4622762,NAN,NAN,13.29567,26,44.10991,,,,,,,,,,,,,,,,,,,-69.10593
1720868400000,2024-13-07,07:00:00 25200000,15.95381,31108.19,12.67631,NAN,8.528064,104.0067,8.242224,-71.10347,1.956372,0.4890931,NAN,NAN,13.28263,26,44.10991,,,,,,,,,,,,,,,,,,,-69.10593
1720869300000,2024-13-07,07:15:00 26100000,15.82518,47087.61,15.84575,NAN,8.560736,104.1492,8.216755,-69.61425,2.189202,0.5473004,NAN,NAN,13.2877,26,44.10988,,,,,,,,,,,,,,,,,,,-69.10592
1720870200000,2024-13-07,07:30:00 27000000,15.62369,47076.24,15.84519,NAN,8.594123,104.1424,8.219701,-69.73452,2.298176,0.574544,NAN,NAN,13.29132,26,44.10988,,,,,,,,,,,,,,,,,,,-69.10592
1720871100000,2024-13-07,07:45:00 27900000,15.48417,47092.79,15.84573,NAN,8.569864,103.5655,8.214119,-69.38219,2.462952,0.615738,NAN,NAN,13.3087,26,44.10988,,,,,,,,,,,,,,,,,,,-69.10592
1720872000000,2024-13-07,08:00:00 28800000,15.28029,28842.64,12.68085,NAN,8.607524,103.6153,8.241816,-70.91438,2.642187,0.6605468,NAN,NAN,13.27225,26,44.10988,,,,,,,,,,,,,,,,,,,-69.10592
1720872900000,2024-13-07,08:15:00 29700000,15.31468,47131.39,15.84929,NAN,8.596809,103.5575,8.218487,-69.59035,2.747179,0.6867947,NAN,NAN,13.33935,26,44.10993,,,,,,,,,,,,,,,,,,,-69.10589
1720873800000,2024-13-07,08:30:00 30600000,15.26133,47150.96,15.84911,NAN,8.808665,106.0002,8.230069,-70.23891,2.205635,0.5514087,NAN,NAN,13.34779,26,44.10993,,,,,,,,,,,,,,,,,,,-69.10589
1720874700000,2024-13-07,08:45:00 31500000,15.22875,47161.98,15.8494,NAN,8.832918,106.2246,8.231038,-70.28637,2.259944,0.564986,NAN,NAN,13.34852,26,44.10993,,,,,,,,,,,,,,,,,,,-69.10589
1720875600000,2024-13-07,09:00:00 32400000,15.21982,33151.66,12.67675,NAN,8.814837,105.991,8.252178,-71.49127,2.087104,0.521776,NAN,NAN,13.32197,26,44.10993,,,,,,,,,,,,,,,,,,,-69.10589
1720876500000,2024-13-07,09:15:00 33300000,15.20512,47164.3,15.84455,NAN,8.805181,105.8491,8.22756,-70.08211,2.169717,0.5424293,NAN,NAN,13.38665,26,44.10986,,,,,,,,,,,,,,,,,,,-69.10585
1720877400000,2024-13-07,09:30:00 34200000,14.53952,47230.41,15.84343,NAN,8.749203,103.7933,8.217273,-69.33442,2.492864,0.623216,NAN,NAN,13.44772,26,44.10986,,,,,,,,,,,,,,,,,,,-69.10585
1720878300000,2024-13-07,09:45:00 35100000,14.76637,47214.18,15.83893,NAN,8.716696,103.8848,8.218282,-69.44637,2.452864,0.6132161,NAN,NAN,13.43276,26,44.10986,,,,,,,,,,,,,,,,,,,-69.10585
1720879200000,2024-13-07,10:00:00 36000000,14.71607,31067.04,12.67381,NAN,8.657978,103.0767,8.238366,-70.57899,2.208083,0.5520207,NAN,NAN,13.44217,26,44.10986,,,,,,,,,,,,,,,,,,,-69.10585
1720880100000,2024-13-07,10:15:00 36900000,14.59717,47242.14,15.83903,NAN,8.644153,102.6773,8.208973,-68.87547,2.105245,0.5263112,NAN,NAN,13.53557,26,44.10997,,,,,,,,,,,,,,,,,,,-69.10589
1720881000000,2024-13-07,10:30:00 37800000,14.61381,47241.52,15.83891,NAN,8.631912,102.5717,8.207995,-68.82397,1.984335,0.4960838,NAN,NAN,13.47523,26,44.10997,,,,,,,,,,,,,,,,,,,-69.10589
1720881900000,2024-13-07,10:45:00 38700000,14.68007,47265.15,15.83818,NAN,8.697968,103.4847,8.21296,-69.12182,1.634786,0.4086965,NAN,NAN,13.54837,26,44.10997,,,,,,,,,,,,,,,,,,,-69.10589
1720882800000,2024-13-07,11:00:00 39600000,14.76132,29745.57,12.67087,NAN,8.871617,105.7224,8.247457,-71.10747,1.211073,0.3027683,NAN,NAN,13.48657,26,44.10997,,,,,,,,,,,,,,,,,,,-69.10589
1720883700000,2024-13-07,11:15:00 40500000,14.96642,47223.34,15.83639,NAN,8.608709,103.0048,8.203804,-68.6687,2.055532,0.513883,NAN,NAN,13.47571,26,44.10995,,,,,,,,,,,,,,,,,,,-69.1059
1720884600000,2024-13-07,11:30:00 41400000,15.30438,47178.78,15.83546,NAN,8.573873,103.2701,8.206423,-68.89894,4.791696,1.197924,NAN,NAN,13.43734,26,44.10995,,,,,,,,,,,,,,,,,,,-69.1059
1720885500000,2024-13-07,11:45:00 42300000,15.53671,47187.45,15.83491,NAN,8.891336,107.5979,8.224629,-69.9951,1.748494,0.4371234,NAN,NAN,13.42576,26,44.10995,,,,,,,,,,,,,,,,,,,-69.1059
1720886400000,2024-13-07,12:00:00 43200000,15.41804,22064.6,15.83601,NAN,8.84723,106.8156,8.242462,-70.98524,1.664441,0.4161102,NAN,NAN,13.41997,26,44.10995,,,,,,,,,,,,,,,,,,,-69.1059
1720887300000,2024-13-07,12:15:00 44100000,15.66061,47197.13,15.83518,NAN,8.689125,105.4229,8.203641,-68.82469,1.378796,0.3446991,NAN,NAN,13.44048,26,44.10992,,,,,,,,,,,,,,,,,,,-69.1059
1720888200000,2024-13-07,12:30:00 45000000,15.78844,47186.57,15.83241,NAN,8.890473,108.1303,8.220697,-69.83085,2.127633,0.5319083,NAN,NAN,13.41755,26,44.10992,,,,,,,,,,,,,,,,,,,-69.1059
1720889100000,2024-13-07,12:45:00 45900000,15.40411,47218.82,15.82901,NAN,8.771064,105.8785,8.207825,-69.00271,1.091144,0.2727861,NAN,NAN,13.44241,26,44.10992,,,,,,,,,,,,,,,,,,,-69.1059
1720890000000,2024-13-07,01:00:00 46800000,15.38068,47194.18,12.66443,NAN,8.687543,104.8135,8.227635,-70.1289,1.522824,0.380706,NAN,NAN,13.44,26,44.10992,,,,,,,,,,,,,,,,,,,-69.1059
1720890900000,2024-13-07,01:15:00 47700000,15.81406,47182.92,15.82342,NAN,8.741094,106.3692,8.211864,-69.3319,1.074871,0.2687176,NAN,NAN,13.43541,26,44.10991,,,,,,,,,,,,,,,,,,,-69.10593
1720891800000,2024-13-07,01:30:00 48600000,16.00778,47151.3,15.8172,NAN,8.809291,107.5968,8.219105,-69.79293,1.446375,0.3615938,NAN,NAN,13.44024,26,44.10991,,,,,,,,,,,,,,,,,,,-69.10593
1720892700000,2024-13-07,01:45:00 49500000,16.12963,47159.33,15.81358,NAN,8.825386,108.0548,8.219779,-69.86094,1.264676,0.3161689,NAN,NAN,13.44265,26,44.10991,,,,,,,,,,,,,,,,,,,-69.10593
1720893600000,2024-13-07,02:00:00 50400000,16.21011,15283.71,15.80993,NAN,8.8368,108.3629,8.241551,-71.12791,1.283591,0.3208978,NAN,NAN,13.43252,26,44.10991,,,,,,,,,,,,,,,,,,,-69.10593
1720894500000,2024-13-07,02:15:00 51300000,16.13561,47171.9,15.80985,NAN,8.867316,108.585,8.221589,-69.96588,1.581139,0.3952847,NAN,NAN,13.44314,26,44.10994,,,,,,,,,,,,,,,,,,,-69.10591
1720895400000,2024-13-07,02:30:00 52200000,16.17077,47168.81,15.81009,NAN,8.907813,109.1554,8.225568,-70.20251,1.818898,0.4547246,NAN,NAN,13.4429,26,44.10994,,,,,,,,,,,,,,,,,,,-69.10591
1720896300000,2024-13-07,02:45:00 53100000,16.19062,47157.4,15.80684,NAN,8.9132,109.2685,8.2263,-70.24944,1.960061,0.4900152,NAN,NAN,13.44241,26,44.10994,,,,,,,,,,,,,,,,,,,-69.10591
1720897200000,2024-13-07,03:00:00 54000000,16.26832,23796.85,15.80832,NAN,8.92345,109.5607,8.247385,-71.47636,1.796172,0.4490431,NAN,NAN,13.43614,25,44.10994,,,,,,,,,,,,,,,,,,,-69.10591
1720898100000,2024-13-07,03:15:00 54900000,16.45175,47168.2,15.80408,NAN,8.889415,109.5374,8.222989,-70.12286,1.343879,0.3359697,NAN,NAN,13.44579,25,NAN,,,,,,,,,,,,,,,,,,,NAN
1720899000000,2024-13-07,03:30:00 55800000,16.26712,47179.2,15.79971,NAN,8.915761,109.4708,8.224902,-70.18781,1.21693,0.3042326,NAN,NAN,13.43517,25,NAN,,,,,,,,,,,,,,,,,,,NAN
1720899900000,2024-13-07,03:45:00 56700000,16.61691,47189.7,15.79721,NAN,8.918792,110.2611,8.224318,-70.23824,1.579947,0.3949867,NAN,NAN,13.44048,25,NAN,,,,,,,,,,,,,,,,,,,NAN
1720900800000,2024-13-07,04:00:00 57600000,16.53242,26449.92,12.6368,NAN,8.94498,110.3857,8.251249,-71.76337,1.64359,0.4108974,NAN,NAN,13.44145,25,NAN,,,,,,,,,,,,,,,,,,,NAN
1720901700000,2024-13-07,04:15:00 58500000,16.40816,47156.63,15.79757,NAN,8.976129,110.5034,8.230289,-70.53106,2.100834,0.5252085,NAN,NAN,13.43807,25,44.10991,,,,,,,,,,,,,,,,,,,-69.10591
1720902600000,2024-13-07,04:30:00 59400000,16.41892,47160.3,15.79474,NAN,9.0083,110.9344,8.233541,-70.71991,1.874816,0.468704,NAN,NAN,13.46799,25,44.10991,,,,,,,,,,,,,,,,,,,-69.10591
1720903500000,2024-13-07,04:45:00 60300000,16.36501,47169.33,15.78811,NAN,9.078813,111.6762,8.23595,-70.84451,2.133368,0.5333419,NAN,NAN,13.46534,25,44.10991,,,,,,,,,,,,,,,,,,,-69.10591
1720904400000,2024-13-07,05:00:00 61200000,16.78549,34990.25,12.63334,NAN,9.162457,113.6333,8.268586,-72.82116,2.046255,0.5115637,NAN,NAN,13.46148,25,44.10991,,,,,,,,,,,,,,,,,,,-69.10591
1720905300000,2024-13-07,05:15:00 62100000,16.69137,47168.66,15.78779,NAN,9.167518,113.494,8.243964,-71.38418,2.44592,0.6114801,NAN,NAN,13.44627,25,NAN,,,,,,,,,,,,,,,,,,,NAN
1720906200000,2024-13-07,05:30:00 63000000,16.69901,47168.86,15.78599,NAN,9.16153,113.4433,8.243953,-71.38568,2.381303,0.5953256,NAN,NAN,13.433,25,NAN,,,,,,,,,,,,,,,,,,,NAN
1720907100000,2024-13-07,05:45:00 63900000,16.50045,47183.45,15.79578,NAN,9.191533,113.369,8.246694,-71.49339,2.740446,0.6851115,NAN,NAN,13.35479,25,NAN,,,,,,,,,,,,,,,,,,,NAN
1720908000000,2024-13-07,06:00:00 64800000,16.40762,47154.68,12.63434,NAN,9.210118,113.398,8.274197,-73.04771,2.823607,0.7059019,NAN,NAN,13.32366,25,NAN,,,,,,,,,,,,,,,,,,,NAN
1720908900000,2024-13-07,06:15:00 65700000,16.32631,47182.13,15.78997,NAN,9.250245,113.7174,8.253439,-71.83765,3.143281,0.7858203,NAN,NAN,13.32439,25,44.10996,,,,,,,,,,,,,,,,,,,-69.1059
