"TOA5","blynken","CR300","36594","CR300-CELL210.11.3.0","CPU:blynken.df84130b24f674375003011e71973b5b.dld","28117","WindUltra"
"TIMESTAMP","RECORD","WindU","WindV"
"TS","RN","",""
"","","Smp","Smp"
"2026-08-02 18:00:00",318,-5.188,-0.029
"2026-08-02 19:00:00",319,-4.716,-0.056
"2026-08-02 20:00:00",320,-3.885,-0.779
"2026-08-02 21:00:00",321,-5.142,-0.497
"2026-08-02 22:00:00",322,-7.28,-1.476
"2026-08-02 23:00:00",323,-4.93,-0.925
"2026-08-03 00:00:00",324,-3.384,-0.614
"2026-08-03 01:00:00",325,-2.202,0.03
"2026-08-03 02:00:00",326,-0.212,-1.533
"2026-08-03 03:00:00",327,0.099,-0.978
"2026-08-03 04:00:00",328,0.759,-0.056
"2026-08-03 05:00:00",329,-2.018,0.598
"2026-08-03 06:00:00",330,-1.441,0.201
"2026-08-03 07:00:00",331,-0.574,0.542
"2026-08-03 08:00:00",332,-2.907,-0.078
"2026-08-03 09:00:00",333,-1.868,0.741
"2026-08-03 10:00:00",334,-6.663,0.529
"2026-08-03 11:00:00",335,-6.856,1.539
"2026-08-03 12:00:00",336,-8.67,0.323
"2026-08-03 13:00:00",337,-10.34,2.864
"2026-08-03 14:00:00",338,-8.46,0.52
"2026-08-03 15:00:00",339,-8.26,-1.26
"2026-08-03 16:00:00",340,-7.806,-0.591
"2026-08-03 17:00:00",341,-5.471,-0.234
"2026-08-03 18:00:00",342,-5.302,-0.039
"2026-08-03 19:00:00",343,-9.21,-1.425
"2026-08-03 20:00:00",344,-8.46,0.014
"2026-08-03 21:00:00",345,-7.218,1.352
"2026-08-03 22:00:00",346,-5.426,0.926
"2026-08-03 23:00:00",347,-3.5,2.418
"2026-08-04 00:00:00",348,-6.183,0.499
"2026-08-04 01:00:00",349,-6.013,0.728
"2026-08-04 02:00:00",350,-5.589,0.481
"2026-08-04 03:00:00",351,-5.037,0.985
"2026-08-04 04:00:00",352,-5.941,1.314
"2026-08-04 05:00:00",353,-4.829,1.092
"2026-08-04 06:00:00",354,-4.428,-0.084
"2026-08-04 07:00:00",355,-5.78,0.45
"2026-08-04 08:00:00",356,-4.874,-0.214
"2026-08-04 09:00:00",357,-4.75,-0.816
"2026-08-04 10:00:00",358,-4.455,0.417
"2026-08-04 11:00:00",359,-6.194,1.96
"2026-08-04 12:00:00",360,-5.385,0.931
"2026-08-04 13:00:00",361,-6.683,0.969
"2026-08-04 14:00:00",362,-2.068,-3.146
"2026-08-04 15:00:00",363,-2.158,1.381
"2026-08-04 16:00:00",364,-5.662,-0.945
"2026-08-04 17:00:00",365,-4.014,0.849
"2026-08-04 18:00:00",366,-4.367,1.853
"2026-08-04 19:00:00",367,-5.659,-0.013
"2026-08-04 20:00:00",368,-3.323,-1.601
"2026-08-04 21:00:00",369,-2.662,-0.159
"2026-08-04 22:00:00",370,-1.94,0.499
"2026-08-04 23:00:00",371,-2.269,0.222
