		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
05/12/25	12:00 p	47.5	49.3	46.7	65	36.3	1.7	ENE	1.74	5.2	NE	47.5	46.8	46.8	---	30.265	0.00	0.00	---	---	---	---	---	---	0.729	0.000	59.8	50	41.1	57.8	9.45	 .0766	0.000	1053	1	77.0	60
05/12/25	1:00 p	51.3	52.0	49.4	60	37.9	2.6	E	2.61	3.5	ENE	51.1	50.3	50.1	---	30.258	0.00	0.00	---	---	---	---	---	---	0.571	0.000	60.7	50	41.9	58.7	9.44	 .0764	0.000	1110	1	81.1	60
05/12/25	2:00 p	52.9	54.4	51.9	55	37.2	2.6	E	2.61	4.3	NE	52.9	51.5	51.5	---	30.243	0.00	0.00	---	---	---	---	---	---	0.504	0.000	61.4	50	42.6	59.4	9.42	 .0763	0.000	1162	1	84.9	60
05/12/25	3:00 p	55.6	56.7	54.3	42	32.8	6.1	NE	6.09	12.2	NE	53.9	53.3	51.6	---	30.212	0.00	0.00	---	---	---	---	---	---	0.392	0.000	62.1	49	42.7	60.0	9.27	 .0761	0.000	1170	1	85.5	60
05/12/25	4:00 p	57.1	57.8	56.4	46	36.5	9.6	NE	9.57	18.3	NE	53.0	54.9	50.8	---	30.176	0.00	0.00	---	---	---	---	---	---	0.329	0.000	63.1	48	43.1	61.0	9.03	 .0759	0.000	1165	1	85.2	60
05/12/25	5:00 p	58.2	58.9	57.5	37	32.0	13.0	ENE	13.04	27.8	E	52.5	55.4	49.7	---	30.138	0.00	0.00	---	---	---	---	---	---	0.283	0.000	63.8	46	42.6	61.6	8.70	 .0757	0.000	1201	1	87.8	60
05/12/25	6:00 p	58.1	59.1	57.5	31	27.6	15.7	E	15.65	27.0	E	51.5	55.0	48.4	---	30.095	0.00	0.00	---	---	---	---	---	---	0.288	0.000	64.7	44	42.3	62.5	8.36	 .0754	0.000	1106	1	80.8	60
05/12/25	7:00 p	58.4	59.4	57.7	47	38.2	13.0	NE	13.04	23.5	ENE	52.7	56.2	50.5	---	30.060	0.00	0.00	---	---	---	---	---	---	0.275	0.000	65.3	43	42.2	63.1	8.25	 .0753	0.000	1027	1	75.1	60
05/12/25	8:00 p	58.1	58.8	56.4	62	45.1	9.6	ENE	9.57	18.3	E	54.1	56.8	52.8	---	30.046	0.00	0.00	---	---	---	---	---	---	0.288	0.000	66.0	43	42.9	63.8	8.25	 .0751	0.000	921	1	67.3	60
05/12/25	9:00 p	55.6	56.6	54.7	61	42.4	12.2	ENE	12.17	27.8	ENE	49.9	54.3	48.6	---	30.005	0.00	0.00	---	---	---	---	---	---	0.392	0.000	66.6	43	43.4	64.5	8.25	 .0749	0.000	776	1	56.7	60
05/12/25	10:00 p	54.4	54.7	54.2	66	43.3	9.6	ENE	9.57	22.6	E	49.9	53.4	48.9	---	30.000	0.00	0.00	---	---	---	---	---	---	0.442	0.000	66.8	44	44.2	64.8	8.35	 .0748	0.000	824	1	60.2	60
05/12/25	11:00 p	55.9	56.4	54.7	63	43.5	6.1	ENE	6.09	13.9	E	54.3	54.7	53.1	---	30.008	0.00	0.00	---	---	---	---	---	---	0.379	0.000	66.9	44	44.3	64.9	8.35	 .0748	0.000	861	1	62.9	60
05/13/25	12:00 a	54.8	55.8	54.0	69	44.8	4.3	ENE	4.35	10.4	ENE	53.9	53.9	53.0	---	30.015	0.00	0.00	---	---	---	---	---	---	0.425	0.000	67.0	43	43.8	64.9	8.25	 .0749	0.000	912	1	66.7	60
05/13/25	1:00 a	53.3	54.2	52.9	73	44.9	2.6	ENE	2.61	4.3	ENE	53.3	52.7	52.7	---	30.035	0.00	0.00	---	---	---	---	---	---	0.488	0.000	66.5	44	43.9	64.4	8.35	 .0750	0.000	944	1	69.0	60
05/13/25	2:00 a	54.1	55.0	52.8	70	44.5	1.7	SE	1.74	7.0	SE	54.1	53.3	53.3	---	30.048	0.00	0.00	---	---	---	---	---	---	0.454	0.000	66.0	45	44.0	64.0	8.53	 .0751	0.000	1036	1	75.7	60
05/13/25	3:00 a	52.7	54.2	52.0	69	42.8	0.9	ENE	0.87	3.5	NNE	52.7	52.0	52.0	---	30.071	0.00	0.00	---	---	---	---	---	---	0.512	0.000	65.2	45	43.3	63.1	8.55	 .0753	0.000	1039	1	76.0	60
